links,detected_ts,viruses,computer_domain,computer_service,cves,released_ts,severity,computer_id,computer_protocol,connector_version,computer_ip,computer_dns,cvss,is_error,vendor,description,computer_port,computer_name,name,connector_type,connector_name,connector_id
james@arceogsuite.work,2017-06-13T23:22:15.826Z,,,admin#reports#activity,,2017-06-13T23:22:15.826Z,low,C02giu4l4,https,112991141630747320478,,,0.0,0,Google G Suite,change_acl_editors,443,,,access,create,3441826363362182503
james@arceogsuite.work,2017-06-13T23:22:15.826Z,,,admin#reports#activity,,2017-06-13T23:22:15.826Z,low,C02giu4l4,https,112991141630747320478,,,0.0,0,Google G Suite,edit,443,,,access,create,882070441680330091
jim@arceogsuite.work,2017-04-22T01:23:11.920Z,,,admin#reports#activity,,2017-04-22T01:23:11.920Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-4387640116541378913
jim@arceogsuite.work,2017-04-22T01:22:41.916Z,,,admin#reports#activity,,2017-04-22T01:22:41.916Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-600040005146790082
jim@arceogsuite.work,2017-04-22T01:22:11.922Z,,,admin#reports#activity,,2017-04-22T01:22:11.922Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,4066939948841720509
jim@arceogsuite.work,2017-04-22T01:21:41.919Z,,,admin#reports#activity,,2017-04-22T01:21:41.919Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-4398688336851924938
jim@arceogsuite.work,2017-04-22T01:21:20.555Z,,,admin#reports#activity,,2017-04-22T01:21:20.555Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-5161199464111445100
jim@arceogsuite.work,2017-04-22T01:19:50.508Z,,,admin#reports#activity,,2017-04-22T01:19:50.508Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,8571980529358643550
jim@arceogsuite.work,2017-04-22T01:18:20.670Z,,,admin#reports#activity,,2017-04-22T01:18:20.670Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-6679620262277556501
jim@arceogsuite.work,2017-04-22T01:17:17.042Z,,,admin#reports#activity,,2017-04-22T01:17:17.042Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-7435542125213636387
jim@arceogsuite.work,2017-04-22T01:16:47.042Z,,,admin#reports#activity,,2017-04-22T01:16:47.042Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,4592575952936654077
jim@arceogsuite.work,2017-04-22T01:16:17.045Z,,,admin#reports#activity,,2017-04-22T01:16:17.045Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,7886781790037746501
jim@arceogsuite.work,2017-04-22T01:15:47.043Z,,,admin#reports#activity,,2017-04-22T01:15:47.043Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-4561360299260927856
jim@arceogsuite.work,2017-04-22T01:15:17.043Z,,,admin#reports#activity,,2017-04-22T01:15:17.043Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-8138404474234962587
jim@arceogsuite.work,2017-04-22T01:15:01.053Z,,,admin#reports#activity,,2017-04-22T01:15:01.053Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,rename,2783463119087598302
jim@arceogsuite.work,2017-04-22T01:15:00.852Z,,,admin#reports#activity,,2017-04-22T01:15:00.852Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-7590021439290692409
jim@arceogsuite.work,2017-04-22T01:14:59.737Z,,,admin#reports#activity,,2017-04-22T01:14:59.737Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,3058089402370311100
jim@arceogsuite.work,2017-04-22T01:14:47.361Z,,,admin#reports#activity,,2017-04-22T01:14:47.361Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,-5900225216860612179
jim@arceogsuite.work,2017-04-22T01:14:46.909Z,,,admin#reports#activity,,2017-04-22T01:14:46.909Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,edit,8495012217250945861
jim@arceogsuite.work,2017-04-22T01:14:46.680Z,,,admin#reports#activity,,2017-04-22T01:14:46.680Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,view,443,,,access,view,-1029049019046363439
jim@arceogsuite.work,2017-04-22T01:14:45.759Z,,,admin#reports#activity,,2017-04-22T01:14:45.759Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,create,1836843087750288205
jim@arceogsuite.work,2017-04-21T21:39:47.656Z,,,admin#reports#activity,,2017-04-21T21:39:47.656Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,change_acl_editors,443,,,access,create,5721483193255187577
jim@arceogsuite.work,2017-04-21T21:39:47.656Z,,,admin#reports#activity,,2017-04-21T21:39:47.656Z,low,C02giu4l4,https,113275966229865943187,,,0.0,0,Google G Suite,edit,443,,,access,create,6022990673892429836
ted@arceogsuite.work,2017-04-19T22:18:55.569Z,,,admin#reports#activity,,2017-04-19T22:18:55.569Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,trash,443,,,access,trash,2888448906967306409
v8@arceogsuite.work,2017-04-17T21:11:40.266Z,,,admin#reports#activity,,2017-04-17T21:11:40.266Z,low,C02giu4l4,https,118083319371051781597,,,0.0,0,Google G Suite,edit,443,,,access,create,-6208715601765343340
v8@arceogsuite.work,2017-04-17T21:11:40.266Z,,,admin#reports#activity,,2017-04-17T21:11:40.266Z,low,C02giu4l4,https,118083319371051781597,,,0.0,0,Google G Suite,change_acl_editors,443,,,access,create,-6327567267544459256
matt@arceogsuite.work,2017-04-17T21:08:10.589Z,,,admin#reports#activity,,2017-04-17T21:08:10.589Z,low,C02giu4l4,https,101543057148095246890,,,0.0,0,Google G Suite,edit,443,,,access,create,-9012156254059472218
matt@arceogsuite.work,2017-04-17T21:08:10.589Z,,,admin#reports#activity,,2017-04-17T21:08:10.589Z,low,C02giu4l4,https,101543057148095246890,,,0.0,0,Google G Suite,change_acl_editors,443,,,access,create,4874951854147649028
ted@arceogsuite.work,2017-04-12T23:25:20.709Z,,,admin#reports#activity,,2017-04-12T23:25:20.709Z,low,C02giu4l4,https,117457815989050774174,2001:470:3d:6:0:0:0:1001,,0.0,0,Google G Suite,download,443,,,access,download,7027110690989365836
ted@arceogsuite.work,2017-04-12T23:23:18.012Z,,,admin#reports#activity,,2017-04-12T23:23:18.012Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,edit,443,,,access,add_to_folder,-2013599706254943904
ted@arceogsuite.work,2017-04-12T23:23:08.012Z,,,admin#reports#activity,,2017-04-12T23:23:08.012Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,trash,443,,,access,trash,-1650357415189068949
ted@arceogsuite.work,2017-04-12T23:23:08.012Z,,,admin#reports#activity,,2017-04-12T23:23:08.012Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,trash,443,,,access,trash,-6758322720804650874
ted@arceogsuite.work,2017-04-12T23:15:27.286Z,,,admin#reports#activity,,2017-04-12T23:15:27.286Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,edit,443,,,access,add_to_folder,-1003561875785735575
ted@arceogsuite.work,2017-04-12T21:16:11.005Z,,,admin#reports#activity,,2017-04-12T21:16:11.005Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,view,443,,,access,view,-1122464558595947663
ted@arceogsuite.work,2017-04-12T21:16:05.702Z,,,admin#reports#activity,,2017-04-12T21:16:05.702Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,edit,443,,,access,add_to_folder,-3156125487396879845
ted@arceogsuite.work,2017-04-12T21:07:20.771Z,,,admin#reports#activity,,2017-04-12T21:07:20.771Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,edit,443,,,access,add_to_folder,3586823242916251237
ted@arceogsuite.work,2017-04-12T21:05:07.231Z,,,admin#reports#activity,,2017-04-12T21:05:07.231Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,change_acl_editors,443,,,access,create,-6956339989783634031
ted@arceogsuite.work,2017-04-12T21:04:13.478Z,,,admin#reports#activity,,2017-04-12T21:04:13.478Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,view,443,,,access,view,8907780052733600348
ted@arceogsuite.work,2017-04-12T21:00:46.266Z,,,admin#reports#activity,,2017-04-12T21:00:46.266Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,change_acl_editors,443,,,access,create,-4872468104338400920
ted@arceogsuite.work,2017-04-12T21:00:46.266Z,,,admin#reports#activity,,2017-04-12T21:00:46.266Z,low,C02giu4l4,https,117457815989050774174,,,0.0,0,Google G Suite,edit,443,,,access,create,3919983348664042964
